# Atomic data from Jitrik & Bunge (2004)
# Damping constants calculated by J.-K. Krogager
# Generated:  2021-07-21 22:19:15.558941
# --------------------------------------------------------------------
# line-ID        ion         wl_cen     f_ij        gamma      mass
#                            Angstrom               s^-1       m_u
# --------------------------------------------------------------------
CI_1116          CI         1116.9997  1.56e-03  2.089e+07  12.011
CI_1117          CI         1117.1330  2.57e-03  2.291e+07  12.011
VIII_1117        VIII       1117.8471  1.02e-03  9.772e+08  49.947
CI_1117.9        CI         1117.8651  4.00e-03  1.479e+07  12.011
CI_1117.92       CI         1117.9202  4.60e-03  1.585e+07  12.011
VIII_1121        VIII       1121.1583  2.04e-02  1.202e+09  49.947
CI_1121          CI         1121.4500  8.39e-04  1.862e+07  12.011
CI_1121.5        CI         1121.5196  9.84e-04  2.692e+07  12.011
CI_1121.7        CI         1121.7100  2.24e-04  2.570e+07  12.011
FeII_1121        FeII       1121.9747  2.90e-02  3.631e+08  55.847
CI_1122          CI         1122.4374  5.12e-03  1.905e+07  12.011
CI_1122.5        CI         1122.5183  1.15e-03  1.995e+07  12.011
FeIII_1122       FeIII      1122.5241  7.76e-02  1.148e+09  55.847
VIII_1123        VIII       1123.5243  5.93e-02  1.349e+09  49.947
VIII_1124        VIII       1124.2981  1.88e-04  1.023e+09  49.947
PII_1124         PII        1124.9452  3.61e-03  1.950e+09  30.974
FeII_1125        FeII       1125.4476  1.56e-02  1.820e+08  55.847
FeII_1127        FeII       1127.0984  1.12e-03  1.096e+08  55.847
CI_1128          CI         1128.0700  1.36e-03  3.236e+07  12.011
CI_1128.2        CI         1128.1700  1.05e-03  4.169e+07  12.011
CI_1128.5        CI         1128.4770  3.41e-04  1.950e+07  12.011
VIII_1129        VIII       1129.1897  1.12e-03  8.318e+08  49.947
CI_1129          CI         1129.1952  7.71e-03  2.951e+07  12.011
CI_1129.3        CI         1129.3175  1.99e-03  2.570e+07  12.011
FeII_1133        FeII       1133.6652  4.72e-03  2.138e+08  55.847
CaII_1135        CaII       1135.4731  5.13e-04  2.455e+06  39.963
CaII_1135.6      CaII       1135.5769  2.56e-04  2.455e+06  39.963
CuI_1136         CuI        1136.1191  6.70e-03  1.862e+07  62.930
CuI_1136.1       CuI        1136.1191  6.22e-03  3.388e+07  62.930
CuI_1136.12      CuI        1136.1191  4.47e-04  1.950e+06  62.930
CuI_1137         CuI        1137.2820  1.00e-02  2.754e+07  62.930
CuI_1137.3       CuI        1137.2820  9.35e-03  5.012e+07  62.930
CuI_1137.28      CuI        1137.2820  7.48e-04  3.020e+06  62.930
CuI_1137.5       CuI        1137.4741  2.81e-03  7.943e+06  62.930
CuI_1137.47      CuI        1137.4741  4.10e-04  3.467e+06  62.930
VIII_1137        VIII       1137.9043  5.41e-04  6.607e+08  49.947
CI_1138          CI         1138.3828  2.41e-03  4.169e+07  12.011
CI_1138.6        CI         1138.5600  9.93e-04  4.571e+07  12.011
CuI_1138         CuI        1138.7491  1.66e-02  4.467e+07  62.930
CuI_1138.7       CuI        1138.7491  1.54e-02  8.318e+07  62.930
CuI_1138.75      CuI        1138.7491  1.20e-03  4.571e+06  62.930
CuI_1139         CuI        1139.0109  5.14e-03  2.042e+07  62.930
CuI_1139.0       CuI        1139.0109  6.84e-04  2.884e+07  62.930
CI_1139          CI         1139.0867  5.43e-04  4.074e+07  12.011
CI_1139.8        CI         1139.7919  1.23e-02  4.677e+07  12.011
CI_1140          CI         1140.0096  3.56e-03  3.981e+07  12.011
CuI_1140         CuI        1140.6971  3.25e-02  8.710e+07  62.930
CuI_1140.7       CuI        1140.6971  3.02e-02  1.585e+08  62.930
CuI_1140.70      CuI        1140.6971  2.31e-03  8.318e+06  62.930
